channel,offset_khz,db_rel_median
36,0.476837,1.71811
36,0.500679,1.40775
36,0.524521,1.48269
36,0.548363,1.38957
36,0.572205,1.33171
36,0.596046,1.17393
36,0.619888,1.25776
36,0.64373,1.00881
36,0.667572,1.03292
36,0.691414,1.07313
36,0.715256,0.969478
36,0.739098,0.947396
36,0.762939,0.950348
36,0.786781,0.954743
36,0.810623,0.930717
36,0.834465,0.85117
36,0.858307,0.88336
36,0.882149,0.876116
36,0.905991,0.810979
36,0.929832,0.746195
36,0.953674,0.771909
36,0.977516,0.771909
36,1.00136,0.728417
36,1.0252,0.71096
36,1.04904,0.71728
36,1.07288,0.730917
36,1.09673,0.733655
36,1.12057,0.699087
36,1.14441,0.691687
36,1.16825,0.711678
36,1.19209,0.732679
36,1.21593,0.695043
36,1.23978,0.694486
36,1.26362,0.715638
36,1.28746,0.728726
36,1.3113,0.708708
36,1.33514,0.682814
36,1.35899,0.696884
36,1.38283,0.704047
36,1.40667,0.686536
36,1.43051,0.674002
36,1.45435,0.686094
36,1.4782,0.696199
36,1.50204,0.672465
36,1.52588,0.674708
36,1.54972,0.669412
36,1.57356,0.677812
36,1.5974,0.678342
36,1.62125,0.671051
36,1.64509,0.67886
36,1.66893,0.677247
36,1.69277,0.70958
36,1.71661,0.672545
36,1.74046,0.67471
36,1.7643,0.685037
36,1.78814,0.68664
36,1.81198,0.675493
36,1.83582,0.664016
36,1.85966,0.685414
36,1.88351,0.692247
36,1.90735,0.685978
36,1.93119,0.663752
36,1.95503,0.677602
36,1.97887,0.685197
36,2.00272,0.669257
36,2.02656,0.663864
36,2.0504,0.670934
36,2.07424,0.680725
36,2.09808,0.681051
36,2.12193,0.667152
36,2.14577,0.665021
36,2.16961,0.67794
36,2.19345,0.692081
36,2.21729,0.668577
36,2.24113,0.674996
36,2.26498,0.685594
36,2.28882,0.706128
36,2.31266,0.691571
36,2.3365,0.678743
36,2.36034,0.68556
36,2.38419,0.681193
36,2.40803,0.683824
36,2.43187,0.668716
36,2.45571,0.680873
36,2.47955,0.675098
36,2.5034,0.668374
36,2.52724,0.67237
36,2.55108,0.674304
36,2.57492,0.680493
36,2.59876,0.674294
36,2.6226,0.673881
36,2.64645,0.671645
36,2.67029,0.691429
36,2.69413,0.718142
36,2.71797,0.681408
36,2.74181,0.681702
36,2.76566,0.699516
36,2.7895,0.713694
36,2.81334,0.690185
36,2.83718,0.686499
36,2.86102,0.706229
36,2.88486,0.712091
36,2.90871,0.700804
36,2.93255,0.684255
36,2.95639,0.695069
36,2.98023,0.692221
36,3.00407,0.688008
36,3.02792,0.683607
36,3.05176,0.692291
36,3.0756,0.708436
36,3.09944,0.707607
36,3.12328,0.693412
36,3.14713,0.69189
36,3.17097,0.71128
36,3.19481,0.729453
36,3.21865,0.691615
36,3.24249,0.713373
36,3.26633,0.731122
36,3.29018,0.767187
36,3.31402,0.714464
36,3.33786,0.70039
36,3.3617,0.727499
36,3.38554,0.743179
36,3.40939,0.710535
36,3.43323,0.683829
36,3.45707,0.718103
36,3.48091,0.731261
36,3.50475,0.713046
36,3.52859,0.694825
36,3.55244,0.701295
36,3.57628,0.718176
36,3.60012,0.698959
36,3.62396,0.689913
36,3.6478,0.702468
36,3.67165,0.716005
36,3.69549,0.75584
36,3.71933,0.696772
36,3.74317,0.698772
36,3.76701,0.723381
36,3.79086,0.729661
36,3.8147,0.696509
36,3.83854,0.683986
36,3.86238,0.713478
36,3.88622,0.724792
36,3.91006,0.699913
36,3.93391,0.67728
36,3.95775,0.693167
36,3.98159,0.696202
36,4.00543,0.684331
36,4.02927,0.668848
36,4.05312,0.676568
36,4.07696,0.686684
36,4.1008,0.672763
36,4.12464,0.667462
36,4.14848,0.666528
36,4.17233,0.665217
36,4.19617,0.672173
36,4.22001,0.659547
