channel,offset_khz,db_rel_median
36,7.93934,0.647389
36,7.96318,0.651869
36,7.98702,0.646818
36,8.01086,0.64494
36,8.03471,0.648792
36,8.05855,0.644848
36,8.08239,0.643706
36,8.10623,0.643466
36,8.13007,0.644697
36,8.15392,0.648321
36,8.17776,0.647618
36,8.2016,0.646767
36,8.22544,0.655833
36,8.24928,0.648006
36,8.27312,0.652961
36,8.29697,0.650394
36,8.32081,0.648213
36,8.34465,0.648745
36,8.36849,0.647084
36,8.39233,0.653745
36,8.41618,0.649986
36,8.44002,0.653254
36,8.46386,0.64104
36,8.4877,0.646814
36,8.51154,0.640926
36,8.53539,0.646743
36,8.55923,0.648415
36,8.58307,0.649987
36,8.60691,0.646752
36,8.63075,0.652108
36,8.65459,0.647552
36,8.67844,0.649075
36,8.70228,0.644924
36,8.72612,0.649409
36,8.74996,0.654959
36,8.7738,0.639713
36,8.79765,0.651756
36,8.82149,0.648278
36,8.84533,0.647658
36,8.86917,0.646866
36,8.89301,0.650022
36,8.91685,0.647173
36,8.9407,0.646129
36,8.96454,0.647348
36,8.98838,0.652184
36,9.01222,0.649646
36,9.03606,0.646243
36,9.05991,0.641161
36,9.08375,0.651032
36,9.10759,0.647874
36,9.13143,0.650216
36,9.15527,0.644115
36,9.17912,0.653848
36,9.20296,0.649357
36,9.2268,0.65119
36,9.25064,0.650783
36,9.27448,0.654228
36,9.29832,0.645563
36,9.32217,0.642228
36,9.34601,0.646785
36,9.36985,0.644407
36,9.39369,0.650054
36,9.41753,0.64916
36,9.44138,0.649658
36,9.46522,0.650477
36,9.48906,0.650301
36,9.5129,0.645421
36,9.53674,0.652601
36,9.56059,0.649552
36,9.58443,0.649584
36,9.60827,0.652993
36,9.63211,0.651483
36,9.65595,0.653179
36,9.67979,0.655957
36,9.70364,0.650967
36,9.72748,0.645312
36,9.75132,0.656178
36,9.77516,0.658146
36,9.799,0.656414
36,9.82285,0.654543
36,9.84669,0.652973
36,9.87053,0.649173
36,9.89437,0.652142
36,9.91821,0.65663
36,9.94205,0.648569
36,9.9659,0.655664
36,9.98974,0.651377
36,10.0136,0.645907
36,10.0374,0.647585
36,10.0613,0.653618
36,10.0851,0.653619
36,10.1089,0.650311
36,10.1328,0.648145
36,10.1566,0.652584
36,10.1805,0.65077
36,10.2043,0.648042
36,10.2282,0.65126
36,10.252,0.650196
36,10.2758,0.650548
36,10.2997,0.64849
36,10.3235,0.65743
36,10.3474,0.651115
36,10.3712,0.655587
36,10.3951,0.658617
36,10.4189,0.653712
36,10.4427,0.650988
36,10.4666,0.651449
36,10.4904,0.650531
36,10.5143,0.653849
36,10.5381,0.650364
36,10.5619,0.654016
36,10.5858,0.650429
36,10.6096,0.652499
36,10.6335,0.655069
36,10.6573,0.653521
36,10.6812,0.649055
36,10.705,0.64784
36,10.7288,0.654856
36,10.7527,0.653594
36,10.7765,0.652316
36,10.8004,0.653074
36,10.8242,0.654802
36,10.848,0.656891
36,10.8719,0.651533
36,10.8957,0.656007
36,10.9196,0.651501
36,10.9434,0.653376
36,10.9673,0.64723
36,10.9911,0.658067
36,11.0149,0.659073
36,11.0388,0.650716
36,11.0626,0.651315
36,11.0865,0.65091
36,11.1103,0.651922
36,11.1341,0.656469
36,11.158,0.654008
36,11.1818,0.649394
36,11.2057,0.659007
36,11.2295,0.649314
36,11.2534,0.651862
36,11.2772,0.654642
36,11.301,0.652451
36,11.3249,0.6558
36,11.3487,0.65152
