requested_snr_shelf_db,frequency_offset_hz,channel_gain_db,channel_phase_deg,requested_composite_atsc_snr_db,measured_truth_snr_shelf_db_mean,measured_truth_composite_atsc_snr_db_mean,fstat_raw_mean,fstat_level_db_mean,pnr_bin_db_mean,estimated_snr_shelf_db_mean,estimated_snr_shelf_db_std,snr_error_db_mean,snr_error_db_std,cpu_float_fstat_raw_mean,cpu_float_estimated_snr_shelf_db_mean,cpu_float_estimated_snr_shelf_db_std,cpu_float_snr_error_db_mean,cpu_float_snr_error_db_std,cpu_float_gpu_snr_diff_db_mean,trials,positive_excess_detection_rate,positive_excess_detection_rate_wilson95_lo,positive_excess_detection_rate_wilson95_hi,threshold_detection_rate,threshold_detection_rate_wilson95_lo,threshold_detection_rate_wilson95_hi,num_feeds,num_input_streams,cpu_gpu_abs_diff_max
-33.0,-1000.0,0.0,0.0,-32.68942739506116,-33.00008388842536,-32.689511283486524,1.0484314027804467,0.1990874213735583,-13.149245776172556,-34.78525762960617,4.442515122683691,-1.7852289314111898,4.442476598082282,1.0467860794419253,-34.64824450107323,3.9603221367863117,-1.6482119556038188,3.9602436760471202,-0.07038690716723925,1000,0.787,0.7605503974702781,0.8112530431590133,0.21,0.18588891937362567,0.23633060054799632,4,4,0.0
-33.0,0.0,0.0,0.0,-32.68942739506116,-33.00008388769241,-32.68951128275357,1.0707158288227903,0.29063386370384614,-11.891748716234256,-33.52776056966787,3.6445899004807747,-0.5277117613793073,3.6445243072991795,1.0693735569586347,-33.5527226221724,3.5472624587621326,-0.5527005287051461,3.5472587881376345,-0.09476853139533267,1000,0.885,0.8637368277535603,0.9033165682125622,0.35,0.32106271005247566,0.38008531749319086,4,4,0.0
-33.0,1000.0,0.0,0.0,-32.68942739506116,-33.00008388761919,-32.68951128268034,1.049428237462824,0.2030109612072181,-13.155713087225148,-34.79172494065876,4.462421902546877,-1.7916533541499282,4.462319067162975,1.0474874297756978,-34.8800858961072,4.476517327452944,-1.8800476767609033,4.476460156120586,-0.19246820300542272,1000,0.797,0.7709550842197117,0.8207718212398687,0.219,0.19446904537483753,0.24568159289404448,4,4,1.1102230246251565e-16
-34.0,-1000.0,0.0,0.0,-33.68942739506116,-34.000083889407804,-33.689511284468956,1.0388614756677985,0.15927756066062665,-13.55666429971174,-35.19267615314535,4.333877468771104,-1.192648736502316,4.33380268804731,1.0370629313549176,-35.21694129251089,4.2587383276738064,-1.2169092795099616,4.258625144427953,-0.10786677539460005,1000,0.747,0.7191453808937036,0.7729642004144321,0.165,0.14328467985555532,0.18927924832976667,4,4,0.0
-34.0,0.0,0.0,0.0,-33.68942739506116,-34.00008388964107,-33.68951128470223,1.0565362445127202,0.23269539683977233,-12.560423964494952,-34.19643581792857,3.78706322499084,-0.1964241700012797,3.7871086675296883,1.0550155850210308,-34.28530075313953,3.8605431755714332,-0.285278866831667,3.8605710626191874,-0.14779673816045347,1000,0.835,0.8107207516702334,0.8567153201444447,0.246,0.22031215328683612,0.2736318400238259,4,4,0.0
-34.0,1000.0,0.0,0.0,-33.68942739506116,-34.00008389138978,-33.68951128645093,1.0397208626780778,0.1626857122716484,-13.444736427044162,-35.08074828047777,4.234898785211695,-1.0806985411911925,4.234828355219408,1.0376813367881932,-35.28693336395994,4.472428026982073,-1.2869092729616358,4.472386463346795,-0.26056562448353277,1000,0.746,0.7181143099237187,0.7720029249013881,0.176,0.15364942465804565,0.2008303148405941,4,4,2.220446049250313e-16
-35.0,-1000.0,0.0,0.0,-34.68942739506116,-35.000083890661934,-34.689511285723086,1.031162295215805,0.12696612757599393,-14.036704009577102,-35.67271586301071,4.764172714720364,-0.6726936291181544,4.764116488916482,1.0293354513035897,-35.804100738215716,4.788082229575677,-0.8040971093458645,4.788003767687416,-0.13666077686457384,1000,0.692,0.662696751104677,0.7198337736368697,0.133,0.11335116065727396,0.15545768007112354,4,4,0.0
-35.0,0.0,0.0,0.0,-34.68942739506116,-35.00008389047762,-34.68951128553877,1.0453530684750558,0.18643248826325323,-13.269438449223728,-34.90545030265734,4.107926101061077,0.09454835015658879,4.1080064945438775,1.0436074515408402,-34.94259470644918,4.300685490459946,0.057419281777977144,4.300729881587845,-0.24251648276049403,1000,0.794,0.7678312571433845,0.8179186088671091,0.194,0.17068142956732762,0.21966054662583218,4,4,2.220446049250313e-16
-35.0,1000.0,0.0,0.0,-34.68942739506116,-35.000083890754354,-34.68951128581551,1.0319186828996272,0.12999441554288665,-13.9233849455385,-35.55939679897211,4.545663199814161,-0.5593731909074836,4.545646231663851,1.0298813140244492,-35.76319290946444,4.667809762010858,-0.7631681247689626,4.667750163187254,-0.3484614767235049,1000,0.699,0.6698531605689392,0.7266237895538098,0.134,0.11428107599412643,0.15652011121729995,4,4,0.0
-36.0,-1000.0,0.0,0.0,-35.68942739506116,-36.00008389582699,-35.68951129088814,1.0251239514269532,0.10145202176165398,-14.262858063157902,-35.89886991659151,4.59311443312238,0.10114836453726579,4.59299917453116,1.023195051512192,-36.04251943537664,4.542646721648066,-0.04249022323141824,4.542607444711504,-0.22514019913414485,1000,0.659,0.6290604090928602,0.6877226817087334,0.113,0.09484035831643467,0.13412155275138501,4,4,1.1102230246251565e-16
